service_id,date,exception_type
000015,20231015,1
000015,20231021,1
000015,20231022,1
000015,20231028,1
000015,20231029,1
000015,20231101,1
000015,20231104,1
000015,20231105,1
000015,20231111,1
000015,20231112,1
000015,20231118,1
000015,20231119,1
000016,20230824,1
000016,20230826,1
000016,20230828,1
000016,20230829,1
000016,20230830,1
000016,20230831,1
000016,20230902,1
000016,20230909,1
000016,20230916,1
000016,20230923,1
000016,20230930,1
000016,20231007,1
000016,20231014,1
000016,20231021,1
000016,20231028,1
000016,20231104,1
000016,20231111,1
000016,20231118,1
000017,20230824,1
000017,20230825,1
000017,20230827,1
000017,20230828,1
000017,20230829,1
000017,20230830,1
000017,20230831,1
000017,20230901,1
000017,20230902,1
000017,20230903,1
000017,20230904,1
000017,20230905,1
000017,20230906,1
000017,20230907,1
000017,20230908,1
000017,20230909,1
000017,20230910,1
000017,20230911,1
000017,20230912,1
000017,20230913,1
000017,20230914,1
000017,20230915,1
000017,20230916,1
000017,20230917,1
000017,20230918,1
000017,20230919,1
000017,20230920,1
000017,20230921,1
000017,20230922,1
000017,20230923,1
000017,20230924,1
000017,20230925,1
000017,20230926,1
000017,20230927,1
000017,20230928,1
000017,20230929,1
000017,20230930,1
000017,20231001,1
000017,20231002,1
000017,20231003,1
000017,20231004,1
000017,20231005,1
000017,20231006,1
000017,20231007,1
000017,20231008,1
000017,20231009,1
000017,20231010,1
000017,20231011,1
000017,20231012,1
000017,20231013,1
000017,20231014,1
000017,20231015,1
000017,20231016,1
000017,20231017,1
000017,20231018,1
000017,20231019,1
000017,20231020,1
000017,20231021,1
000017,20231022,1
000017,20231023,1
000017,20231024,1
000017,20231025,1
000017,20231026,1
000017,20231027,1
000017,20231028,1
000017,20231029,1
000017,20231030,1
000017,20231031,1
000017,20231101,1
000017,20231102,1
000017,20231103,1
000017,20231104,1
000017,20231105,1
000017,20231106,1
000017,20231107,1
000017,20231108,1
000017,20231109,1
000017,20231110,1
000017,20231111,1
000017,20231112,1
000017,20231113,1
000017,20231114,1
000017,20231115,1
000017,20231116,1
000017,20231117,1
000017,20231118,1
000017,20231119,1
000017,20231120,1
000017,20231121,1
000017,20231122,1
000018,20230826,1
000019,20230826,1
000019,20230827,1
000019,20230902,1
000019,20230903,1
000019,20230909,1
000019,20230910,1
000019,20230916,1
000019,20230917,1
000019,20230923,1
000019,20230924,1
000019,20230930,1
000019,20231001,1
000019,20231007,1
000019,20231008,1
000019,20231014,1
000019,20231015,1
000019,20231021,1
000019,20231022,1
000019,20231028,1
000019,20231029,1
000019,20231104,1
000019,20231105,1
000019,20231111,1
000019,20231112,1
000019,20231118,1
000019,20231119,1
000020,20230824,1
000020,20230825,1
000020,20230826,1
000020,20230827,1
000020,20230828,1
000020,20230829,1
000020,20230830,1
000020,20230831,1
000020,20230901,1
000020,20230902,1
000020,20230903,1
000020,20230904,1
000020,20230905,1
000020,20230906,1
000020,20230907,1
000020,20230908,1
000020,20230909,1
000020,20230910,1
000020,20230911,1
000020,20230912,1
000020,20230913,1
000020,20230914,1
000020,20230915,1
000020,20230916,1
000020,20230917,1
000020,20230918,1
000020,20230919,1
000020,20230920,1
000020,20230921,1
000020,20230922,1
000020,20230925,1
000020,20230926,1
000020,20230927,1
000020,20230928,1
000020,20230929,1
000020,20231002,1
000020,20231003,1
000020,20231004,1
000020,20231005,1
000020,20231006,1
000020,20231007,1
000020,20231008,1
000020,20231009,1
000020,20231010,1
000020,20231011,1
000020,20231012,1
000020,20231013,1
000020,20231014,1
000020,20231015,1
000020,20231016,1
000020,20231017,1
000020,20231018,1
000020,20231019,1
000020,20231020,1
000020,20231021,1
000020,20231022,1
000020,20231023,1
000020,20231024,1
000020,20231025,1
000020,20231026,1
000020,20231027,1
000020,20231028,1
000020,20231029,1
000020,20231030,1
000020,20231031,1
000020,20231101,1
000020,20231102,1
000020,20231103,1
000020,20231104,1
000020,20231105,1
000020,20231106,1
000020,20231107,1
000020,20231108,1
000020,20231109,1
000020,20231110,1
000020,20231111,1
000020,20231112,1
000020,20231113,1
000020,20231114,1
000020,20231115,1
000020,20231116,1
000020,20231117,1
000020,20231118,1
000020,20231119,1
000020,20231120,1
